"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.009607458E0,-1.938951328E-1,-6.377376848E-1,7.920658788E-1,1.035216419E0
1.019567458E0,1.232185509E0,-1.531892733E0,1.602263681E0,2.536183230E0
1.029527458E0,3.904709217E-1,-3.849343686E0,1.356406682E0,4.099969932E0
1.039487458E0,-3.218526766E-1,-4.446716287E0,-1.556334971E0,4.722187356E0
1.049446458E0,3.987128645E-1,-8.997613585E-1,-1.992113628E0,2.221949405E0
1.059406458E0,1.014131142E0,1.511292992E0,-6.041313976E-1,1.917666089E0
1.069366458E0,1.491986656E0,1.637295812E0,-8.598181513E-1,2.376141622E0
1.079326458E0,1.100072349E0,1.191987070E0,-1.294545186E0,2.075292651E0
1.089285458E0,7.787035292E-1,1.167478466E0,-7.743263036E-1,1.602799544E0
1.099245458E0,-3.015964597E-1,1.034933782E0,-2.668751085E-1,1.110527208E0
1.109205458E0,-1.159726228E0,9.407889318E-1,3.850490910E-1,1.542177532E0
1.119165458E0,8.039570689E-2,1.025119230E0,1.655526845E0,1.948871992E0
1.129125458E0,2.634655970E-1,1.362406510E0,1.387513869E0,1.962335434E0
1.139084458E0,-5.942045796E-1,1.433137354E0,5.845692453E-1,1.657915245E0
1.149044458E0,-1.087206720E0,1.356327159E0,-5.634517336E-1,1.827325825E0
1.159004458E0,-3.665455770E-1,1.341386354E-1,5.152461183E-1,6.463956961E-1
1.168964458E0,1.599392406E0,-5.496873879E-1,5.284552708E-1,1.771857010E0
1.178924458E0,1.712479895E0,-6.370254940E-1,-1.595987572E0,2.426018385E0
1.188883458E0,1.901284150E0,-4.590450203E-1,-2.072325440E0,2.849585317E0
1.198843458E0,1.927880210E0,-3.944824040E-2,-2.219222408E0,2.939936456E0
1.208803458E0,1.485537761E-1,3.773301816E-1,-3.276797486E0,3.301794671E0
1.218763458E0,-2.565954110E0,1.247970067E0,-2.469894589E0,3.773848045E0
1.228722458E0,-2.422998458E0,9.425197077E-1,1.326411635E-1,2.603240021E0
1.238682458E0,-1.224953088E0,-3.242783940E-1,6.307064080E-1,1.415435310E0
1.248642458E0,-6.077502394E-1,-1.149990613E0,2.725641569E-1,1.328958233E0
1.258602458E0,-2.433026433E-1,-1.304872246E0,2.891154318E-1,1.358482789E0
1.268562458E0,3.042306304E-3,-9.641795486E-1,6.275721543E-1,1.150433947E0
1.278521458E0,3.387245250E-1,-8.403817141E-1,9.392519912E-1,1.305055567E0
1.288481083E0,4.744354767E-1,-1.199791349E0,6.152930014E-1,1.429396299E0
1.298441083E0,5.307804161E-1,-1.444407862E0,4.858492416E-1,1.613719742E0
1.308401083E0,-1.175699651E-2,-9.439335644E-1,1.115431815E0,1.461279212E0
1.318361083E0,-4.532703102E-2,-6.205959874E-1,1.944223470E0,2.041371799E0
1.328320083E0,3.525748247E-1,-8.822302365E-1,1.963172542E0,2.180982721E0
1.338280083E0,4.305082691E-1,-8.328177559E-1,1.702427801E0,1.943497672E0
1.348240083E0,2.505970448E-1,-6.858684558E-1,1.637776014E0,1.793188415E0
1.358200083E0,3.446161795E-1,-6.727011108E-1,1.660480607E0,1.824413040E0
1.368160083E0,7.379332334E-1,-7.556157982E-1,1.790081656E0,2.078435235E0
1.378119083E0,9.647069675E-1,-7.952207440E-1,1.675141915E0,2.090247832E0
1.388079083E0,8.055188602E-1,-6.108568650E-1,1.270803444E0,1.623868264E0
1.398039083E0,7.425203741E-1,-3.221587783E-1,9.065279026E-1,1.215284174E0
1.407999083E0,7.558473480E-1,2.265971482E-2,4.523827028E-1,8.811746626E-1
1.417958083E0,3.875914603E-1,2.877648711E-2,3.623876220E-1,5.313944062E-1
1.427918083E0,-1.183581698E-1,-1.577280575E-1,6.828670800E-1,7.107701776E-1
1.437878083E0,-2.772527468E-1,3.689540452E-1,1.166273867E0,1.254269072E0
1.447838083E0,-1.970412272E-1,6.974582219E-1,1.451244865E0,1.622154393E0
1.457798083E0,-2.027867013E-1,5.556392688E-1,1.173126803E0,1.313805138E0
1.467757083E0,2.169007105E-1,4.177858973E-1,6.988538792E-1,8.426076896E-1
1.477717083E0,7.451095212E-1,3.708362639E-2,3.066864610E-1,8.066101780E-1
1.487677083E0,1.310320097E0,-4.402859831E-1,-1.124653459E-1,1.386881018E0
1.497637083E0,1.689876314E0,-7.298816174E-1,-3.602680794E-1,1.875687133E0
1.507597083E0,1.743997557E0,-6.442017817E-1,-7.817551911E-2,1.860815635E0
1.517556083E0,1.523115478E0,-4.822777623E-1,3.546961214E-1,1.636545733E0
1.527516083E0,1.299146653E0,-3.680874878E-1,4.296176650E-1,1.416983332E0
1.537476083E0,4.493614465E-1,-4.376494735E-1,1.621035290E-1,6.478736956E-1
1.547436083E0,2.197898197E-1,-4.778829950E-1,3.146906414E-1,6.129518101E-1
1.557396083E0,2.488557440E-1,-3.827066964E-1,5.675212495E-1,7.283364370E-1
1.567355083E0,-3.017174971E-1,-1.490022576E-1,4.995130152E-1,6.022859563E-1
1.577315083E0,-1.003526047E0,-1.308951849E-1,3.175388932E-2,1.012524759E0
1.587275083E0,-1.582485182E0,-1.746463913E-1,-2.319520283E-1,1.608901009E0
1.597235083E0,-1.132513286E0,-2.247377336E-1,-3.878692031E-1,1.218004889E0
1.607195083E0,-4.556097811E-1,-3.625624537E-1,-5.316744554E-1,7.884855941E-1
1.617154083E0,-2.993218929E-1,-1.329405409E-1,-9.823257977E-1,1.035485758E0
1.627114083E0,-3.366382384E-1,3.762613106E-1,-9.395095611E-1,1.066572123E0
1.637074083E0,-6.460495019E-1,3.969013971E-1,-4.830742992E-2,7.597659414E-1
1.647034083E0,-9.754675984E-2,3.717870212E-1,6.776161341E-1,7.790408107E-1
1.656993083E0,1.366084993E-2,7.153425157E-1,7.609829575E-1,1.044507824E0
1.666953083E0,2.109505838E-1,1.125715313E0,7.294424915E-1,1.357873876E0
1.676913083E0,2.703226268E-1,1.205842048E0,5.339870292E-1,1.346206342E0
1.686873083E0,1.932826370E-1,1.041618903E0,4.572195927E-1,1.153853489E0
1.696833083E0,1.692804015E-1,8.464710045E-1,5.344847003E-1,1.015304344E0
1.706792083E0,-2.775299048E-1,7.430758595E-1,5.802760003E-1,9.828045674E-1
1.716752083E0,-9.963503444E-1,8.656545496E-1,4.893604946E-1,1.407673791E0
1.726712083E0,-8.925944263E-1,1.282736442E0,6.319758385E-1,1.685684149E0
1.736672083E0,-2.059710950E-1,1.246643334E0,7.974262407E-1,1.494132626E0
1.746632083E0,7.565127611E-3,1.100944753E0,5.171802311E-1,1.216393017E0
1.756591083E0,1.220185268E-1,1.175914829E0,6.189096504E-1,1.334433723E0
1.766551083E0,3.467012966E-1,1.249694996E0,1.143643461E0,1.729121088E0
1.776511083E0,7.736164516E-1,1.116217096E0,1.346430747E0,1.912406540E0
1.786471083E0,8.258648318E-1,8.835622323E-1,1.256328077E0,1.743873613E0
1.796431083E0,4.929506850E-1,1.005642740E0,9.428635240E-1,1.464004550E0
1.806390083E0,1.098048627E-1,1.454446946E0,5.554802245E-1,1.560779071E0
1.816350083E0,-2.236595070E-1,1.615993820E0,2.655898905E-1,1.652875553E0
1.826310083E0,-2.233805948E-1,1.660588195E0,1.277612966E-2,1.675594006E0
1.836270083E0,1.600265980E-1,1.655135667E0,-3.802327394E-2,1.663288417E0
1.846230083E0,3.100398391E-1,1.394060996E0,-6.790239975E-2,1.429734765E0
1.856189083E0,1.504552907E-1,9.401433992E-1,-5.988477074E-2,9.539877313E-1
1.866149083E0,1.645874262E-2,4.644624656E-1,1.211942156E-1,4.802960650E-1
1.876109083E0,-2.803447545E-1,8.556113720E-2,-1.560263716E-2,2.935256920E-1
1.886069083E0,-3.676103550E-1,-1.982919466E-1,-1.472841994E-1,4.428879143E-1
1.896028083E0,-5.207676440E-1,-7.221194386E-2,-2.299571045E-1,5.738412444E-1
1.905988083E0,-7.993523866E-1,-1.903268695E-3,-2.312328207E-1,8.321276812E-1
1.915948083E0,-1.402482156E0,-2.381682032E-1,-2.233051658E-1,1.439981072E0
1.925908083E0,-3.384695864E-1,1.426925272E-1,-6.027529165E-2,3.722310156E-1
1.935868083E0,-4.795471126E-1,3.831855834E-2,-2.215029077E-1,5.296199423E-1
1.945827083E0,-7.755887175E-1,-8.709778547E-2,-2.404350226E-1,8.166595882E-1
1.955787083E0,-9.004910910E-1,-9.498567939E-2,-2.487332448E-1,9.390285999E-1
1.965747083E0,-8.020064378E-1,-9.046402752E-2,-4.147219563E-1,9.074097021E-1
1.975707083E0,-6.079086989E-1,-9.298300803E-2,-5.191295466E-1,8.047945776E-1
1.985667083E0,-6.464208001E-1,9.985582530E-2,-6.490944394E-1,9.214958643E-1
1.995626083E0,-6.624100113E-1,3.153865331E-1,-5.861553025E-1,9.390600231E-1
2.005586083E0,-3.802327394E-1,4.906772876E-1,-3.538313913E-1,7.145192721E-1
2.015546083E0,1.317406923E-1,7.156062251E-1,-1.971871153E-1,7.538770708E-1
2.025506083E0,2.541960061E-2,7.463432837E-1,-1.287077415E-1,7.577863392E-1
